encoder,representation,move,f1_mean,f1_min,f1_max,auc_mean,auc_min,auc_max,support
DAPT,Preceding-1,focus,0.5972733921154668,0.5517241379310345,0.6224489795918368,0.6497333333333334,0.6219,0.6941,93
DAPT,Preceding-1,generic,0.21304093567251461,0.08333333333333333,0.3157894736842105,0.6910333333333334,0.6572,0.7558,15
DAPT,Preceding-1,probing,0.572870970549272,0.546583850931677,0.5975609756097561,0.7181666666666667,0.702,0.7358,82
DAPT,Preceding-1,telling,0.09523809523809523,0.0,0.14285714285714285,0.7970666666666667,0.7602,0.8316,9
DAPT,Preceding-2,focus,0.6123093930111474,0.5730994152046783,0.6818181818181818,0.6899333333333333,0.6295,0.7432,93
DAPT,Preceding-2,generic,0.19982174688057042,0.11764705882352941,0.3,0.7529,0.7207,0.7826,15
DAPT,Preceding-2,probing,0.57356593882647,0.5517241379310345,0.6073298429319371,0.7214333333333333,0.6923,0.7504,82
DAPT,Preceding-2,telling,0.14444444444444443,0.0,0.26666666666666666,0.7629666666666667,0.6982,0.8018,9
DAPT,Tutor-turn only,focus,0.5374651329691674,0.4624277456647399,0.5851528384279476,0.7593,0.6798,0.8189,107
DAPT,Tutor-turn only,generic,0.9202151429517537,0.9164086687306502,0.9221183800623053,0.9501333333333334,0.948,0.9535,164
DAPT,Tutor-turn only,probing,0.6488067349143695,0.6244343891402715,0.6666666666666666,0.8146999999999999,0.7293,0.8578,113
DAPT,Tutor-turn only,telling,0.3694083694083694,0.36363636363636365,0.38095238095238093,0.8382999999999999,0.819,0.8617,13
RoBERTa-base,Preceding-1,focus,0.6227480140897925,0.6153846153846154,0.6358381502890174,0.6668666666666666,0.5968,0.7261,93
RoBERTa-base,Preceding-1,generic,0.33456790123456787,0.3,0.37037037037037035,0.7928666666666667,0.737,0.8478,15
RoBERTa-base,Preceding-1,probing,0.6088561825300653,0.5859872611464968,0.6417112299465241,0.7269,0.7136,0.7391,82
RoBERTa-base,Preceding-1,telling,0.17663817663817663,0.0,0.3076923076923077,0.8130333333333333,0.7865,0.831,9
RoBERTa-base,Preceding-2,focus,0.6144644363688888,0.56353591160221,0.6737967914438503,0.6806333333333333,0.6212,0.7363,93
RoBERTa-base,Preceding-2,generic,0.22328650489570026,0.16666666666666666,0.2962962962962963,0.7627999999999999,0.6808,0.813,15
RoBERTa-base,Preceding-2,probing,0.6017117355332432,0.5935483870967742,0.6127167630057804,0.7366,0.7296,0.7411,82
RoBERTa-base,Preceding-2,telling,0.03333333333333333,0.0,0.1,0.8314,0.8041,0.8591,9
RoBERTa-base,Tutor-turn only,focus,0.6045866982840191,0.5753424657534246,0.6255144032921811,0.7925666666666666,0.7779,0.8137,107
RoBERTa-base,Tutor-turn only,generic,0.9180027414933075,0.9107692307692308,0.925,0.9445,0.9418,0.9487,164
RoBERTa-base,Tutor-turn only,probing,0.5914412847959053,0.5510204081632653,0.6138613861386139,0.8549333333333333,0.8474,0.8688,113
RoBERTa-base,Tutor-turn only,telling,0.3774804905239688,0.34782608695652173,0.4,0.8056333333333333,0.7677,0.8268,13
