encoder,representation,objective,epoch,val_macro_f1,val_loss
DAPT,Preceding-1,Weighted CE,4,0.400299,1.252455
DAPT,Preceding-1,Weighted CE,5,0.395418,1.664084
DAPT,Preceding-1,Weighted CE,6,0.318707,1.720398
DAPT,Preceding-1,Weighted CE,7,0.459738,1.942233
DAPT,Preceding-1,Weighted CE,8,0.488993,2.000527
DAPT,Preceding-1,Weighted CE,9,0.406418,2.223774
DAPT,Preceding-1,Weighted CE,10,0.465188,2.215837
DAPT,Tutor-turn only,Weighted CE,1,0.367839,1.117484
DAPT,Tutor-turn only,Weighted CE,2,0.480348,1.191508
DAPT,Tutor-turn only,Weighted CE,3,0.530836,1.188751
DAPT,Tutor-turn only,Weighted CE,4,0.534104,1.288
DAPT,Tutor-turn only,Weighted CE,5,0.584482,1.353142
DAPT,Tutor-turn only,Weighted CE,6,0.525887,1.765685
DAPT,Tutor-turn only,Weighted CE,7,0.584842,1.814659
DAPT,Tutor-turn only,Weighted CE,8,0.569523,2.32836
DAPT,Tutor-turn only,Weighted CE,9,0.578111,2.440312
DAPT,Tutor-turn only,Weighted CE,10,0.602716,2.461063
DAPT,Preceding-2,AUC max.,1,0.159794,3.525475
DAPT,Preceding-2,AUC max.,2,0.293063,3.392077
DAPT,Preceding-2,AUC max.,3,0.282732,3.01457
DAPT,Preceding-2,AUC max.,4,0.41761,2.795297
DAPT,Preceding-2,AUC max.,5,0.407834,2.617492
DAPT,Preceding-2,AUC max.,6,0.36689,2.621891
DAPT,Preceding-2,AUC max.,7,0.377932,2.601285
DAPT,Preceding-2,AUC max.,8,0.481169,2.513686
DAPT,Preceding-2,AUC max.,9,0.35334,2.595554
DAPT,Preceding-2,AUC max.,10,0.408672,2.536886
DAPT,Preceding-1,AUC max.,1,0.159794,3.524031
DAPT,Preceding-1,AUC max.,2,0.159794,3.378097
DAPT,Preceding-1,AUC max.,3,0.366345,3.168463
DAPT,Preceding-1,AUC max.,4,0.411531,2.807988
DAPT,Preceding-1,AUC max.,5,0.372436,2.710856
DAPT,Preceding-1,AUC max.,6,0.43272,2.570888
DAPT,Preceding-1,AUC max.,7,0.39482,2.505519
DAPT,Preceding-1,AUC max.,8,0.449357,2.429635
DAPT,Preceding-1,AUC max.,9,0.472289,2.489485
DAPT,Preceding-1,AUC max.,10,0.444247,2.455683
DAPT,Tutor-turn only,AUC max.,1,0.401675,2.719997
DAPT,Tutor-turn only,AUC max.,2,0.473515,1.631087
DAPT,Tutor-turn only,AUC max.,3,0.431384,1.499709
DAPT,Tutor-turn only,AUC max.,4,0.535163,1.515853
DAPT,Tutor-turn only,AUC max.,5,0.526537,1.589862
DAPT,Tutor-turn only,AUC max.,6,0.54965,1.582781
DAPT,Tutor-turn only,AUC max.,7,0.561323,1.649228
DAPT,Tutor-turn only,AUC max.,8,0.539451,1.727476
DAPT,Tutor-turn only,AUC max.,9,0.545481,1.752061
DAPT,Tutor-turn only,AUC max.,10,0.538706,1.783532
DAPT,Preceding-2,Focal loss,1,0.166442,0.776532
DAPT,Preceding-2,Focal loss,2,0.2836,0.818581
DAPT,Preceding-2,Focal loss,3,0.32451,0.818151
DAPT,Preceding-2,Focal loss,4,0.389173,0.721362
DAPT,Preceding-2,Focal loss,5,0.38447,1.014697
DAPT,Preceding-2,Focal loss,6,0.358049,1.271547
DAPT,Preceding-2,Focal loss,7,0.391266,1.506971
DAPT,Preceding-2,Focal loss,8,0.380489,1.468884
DAPT,Preceding-2,Focal loss,9,0.390823,1.586757
DAPT,Preceding-2,Focal loss,10,0.374455,1.638702
DAPT,Preceding-1,Focal loss,1,0.183468,0.7881
DAPT,Preceding-1,Focal loss,2,0.224367,0.761519
DAPT,Preceding-1,Focal loss,3,0.180074,0.864015
DAPT,Preceding-1,Focal loss,4,0.370564,0.880014
DAPT,Preceding-1,Focal loss,5,0.43451,1.369042
DAPT,Preceding-1,Focal loss,6,0.400092,1.103618
DAPT,Preceding-1,Focal loss,7,0.464678,1.471005
DAPT,Preceding-1,Focal loss,8,0.395991,1.474281
DAPT,Preceding-1,Focal loss,9,0.40769,1.482636
DAPT,Preceding-1,Focal loss,10,0.42324,1.442945
DAPT,Tutor-turn only,Focal loss,1,0.432291,0.796062
DAPT,Tutor-turn only,Focal loss,2,0.478468,0.577104
DAPT,Tutor-turn only,Focal loss,3,0.531612,0.732683
DAPT,Tutor-turn only,Focal loss,4,0.556062,0.944473
DAPT,Tutor-turn only,Focal loss,5,0.548327,1.035104
DAPT,Tutor-turn only,Focal loss,6,0.577301,1.022906
DAPT,Tutor-turn only,Focal loss,7,0.55358,1.003362
DAPT,Tutor-turn only,Focal loss,8,0.56716,1.169469
DAPT,Tutor-turn only,Focal loss,9,0.572836,1.289094
DAPT,Tutor-turn only,Focal loss,10,0.578945,1.293939
