encoder,representation,objective,epoch,val_macro_f1,val_loss
RoBERTa-base,Preceding-2,Weighted CE,1,0.267873,1.39809
RoBERTa-base,Preceding-2,Weighted CE,2,0.145161,1.404743
RoBERTa-base,Preceding-2,Weighted CE,3,0.289009,1.383661
RoBERTa-base,Preceding-2,Weighted CE,4,0.339335,1.273317
RoBERTa-base,Preceding-2,Weighted CE,5,0.352293,1.272128
RoBERTa-base,Preceding-2,Weighted CE,6,0.41929,1.291156
RoBERTa-base,Preceding-2,Weighted CE,7,0.427079,1.348879
RoBERTa-base,Preceding-2,Weighted CE,8,0.437611,1.44841
RoBERTa-base,Preceding-2,Weighted CE,9,0.443332,1.527066
RoBERTa-base,Preceding-2,Weighted CE,10,0.474921,1.496044
RoBERTa-base,Preceding-1,Weighted CE,1,0.204301,1.362315
RoBERTa-base,Preceding-1,Weighted CE,2,0.236296,1.344006
RoBERTa-base,Preceding-1,Weighted CE,3,0.229334,1.362624
RoBERTa-base,Preceding-1,Weighted CE,4,0.467538,1.218223
RoBERTa-base,Preceding-1,Weighted CE,5,0.434934,1.456298
RoBERTa-base,Preceding-1,Weighted CE,6,0.436772,1.437908
RoBERTa-base,Preceding-1,Weighted CE,7,0.460967,1.70559
RoBERTa-base,Preceding-1,Weighted CE,8,0.443961,1.976566
RoBERTa-base,Preceding-1,Weighted CE,9,0.409429,2.007071
RoBERTa-base,Preceding-1,Weighted CE,10,0.414672,2.162046
RoBERTa-base,Tutor-turn only,Weighted CE,1,0.383944,1.156494
RoBERTa-base,Tutor-turn only,Weighted CE,2,0.368552,1.052397
RoBERTa-base,Tutor-turn only,Weighted CE,3,0.456405,1.166428
RoBERTa-base,Tutor-turn only,Weighted CE,4,0.423132,1.128769
RoBERTa-base,Tutor-turn only,Weighted CE,5,0.444981,1.262015
RoBERTa-base,Tutor-turn only,Weighted CE,6,0.57289,1.172576
RoBERTa-base,Tutor-turn only,Weighted CE,7,0.564181,1.267102
RoBERTa-base,Tutor-turn only,Weighted CE,8,0.588102,1.294946
RoBERTa-base,Tutor-turn only,Weighted CE,9,0.571988,1.456113
RoBERTa-base,Tutor-turn only,Weighted CE,10,0.597037,1.491404
RoBERTa-base,Preceding-2,AUC max.,1,0.159794,3.516491
RoBERTa-base,Preceding-2,AUC max.,2,0.256701,3.272298
RoBERTa-base,Preceding-2,AUC max.,3,0.352135,2.88512
RoBERTa-base,Preceding-2,AUC max.,4,0.422984,2.540872
RoBERTa-base,Preceding-2,AUC max.,5,0.416643,2.361701
RoBERTa-base,Preceding-2,AUC max.,6,0.407825,2.303228
RoBERTa-base,Preceding-2,AUC max.,7,0.408957,2.249324
RoBERTa-base,Preceding-2,AUC max.,8,0.397662,2.196687
RoBERTa-base,Preceding-2,AUC max.,9,0.424036,2.257471
RoBERTa-base,Preceding-2,AUC max.,10,0.440238,2.249451
RoBERTa-base,Preceding-1,AUC max.,1,0.159794,3.515714
RoBERTa-base,Preceding-1,AUC max.,2,0.159794,3.280056
RoBERTa-base,Preceding-1,AUC max.,3,0.267544,2.978432
RoBERTa-base,Preceding-1,AUC max.,4,0.430791,2.637461
RoBERTa-base,Preceding-1,AUC max.,5,0.421959,2.513729
RoBERTa-base,Preceding-1,AUC max.,6,0.387113,2.574208
RoBERTa-base,Preceding-1,AUC max.,7,0.389602,2.562762
RoBERTa-base,Preceding-1,AUC max.,8,0.43993,2.521691
RoBERTa-base,Preceding-1,AUC max.,9,0.406831,2.527354
RoBERTa-base,Preceding-1,AUC max.,10,0.395762,2.623766
RoBERTa-base,Tutor-turn only,AUC max.,1,0.371235,2.588544
RoBERTa-base,Tutor-turn only,AUC max.,2,0.526341,1.597131
RoBERTa-base,Tutor-turn only,AUC max.,3,0.52795,1.477604
RoBERTa-base,Tutor-turn only,AUC max.,4,0.583315,1.390239
RoBERTa-base,Tutor-turn only,AUC max.,5,0.617736,1.384561
RoBERTa-base,Tutor-turn only,AUC max.,6,0.614257,1.565987
RoBERTa-base,Tutor-turn only,AUC max.,7,0.630629,1.440991
RoBERTa-base,Tutor-turn only,AUC max.,8,0.623467,1.574924
RoBERTa-base,Tutor-turn only,AUC max.,9,0.623658,1.527208
RoBERTa-base,Tutor-turn only,AUC max.,10,0.627105,1.546076
RoBERTa-base,Preceding-2,Focal loss,1,0.145161,0.81692
RoBERTa-base,Preceding-2,Focal loss,2,0.204838,0.811493
RoBERTa-base,Preceding-2,Focal loss,3,0.299918,0.794739
RoBERTa-base,Preceding-2,Focal loss,4,0.350687,0.683413
RoBERTa-base,Preceding-2,Focal loss,5,0.434774,0.67168
RoBERTa-base,Preceding-2,Focal loss,6,0.444387,0.78852
RoBERTa-base,Preceding-2,Focal loss,7,0.46535,0.914293
RoBERTa-base,Preceding-2,Focal loss,8,0.410344,1.181802
RoBERTa-base,Preceding-2,Focal loss,9,0.372034,1.369827
RoBERTa-base,Preceding-2,Focal loss,10,0.43766,1.230315
RoBERTa-base,Preceding-1,Focal loss,1,0.151003,0.767787
RoBERTa-base,Preceding-1,Focal loss,2,0.216331,0.742156
RoBERTa-base,Preceding-1,Focal loss,3,0.216173,0.800911
RoBERTa-base,Preceding-1,Focal loss,4,0.429884,0.639428
RoBERTa-base,Preceding-1,Focal loss,5,0.440042,0.955929
RoBERTa-base,Preceding-1,Focal loss,6,0.341409,1.008214
RoBERTa-base,Preceding-1,Focal loss,7,0.431991,1.293107
RoBERTa-base,Preceding-1,Focal loss,8,0.407501,1.29666
RoBERTa-base,Preceding-1,Focal loss,9,0.418532,1.310816
RoBERTa-base,Preceding-1,Focal loss,10,0.459402,1.366225
RoBERTa-base,Tutor-turn only,Focal loss,1,0.379189,0.604629
RoBERTa-base,Tutor-turn only,Focal loss,2,0.370083,0.529495
RoBERTa-base,Tutor-turn only,Focal loss,3,0.459053,0.652558
RoBERTa-base,Tutor-turn only,Focal loss,4,0.440969,0.61563
RoBERTa-base,Tutor-turn only,Focal loss,5,0.568159,0.807526
RoBERTa-base,Tutor-turn only,Focal loss,6,0.550733,0.73193
RoBERTa-base,Tutor-turn only,Focal loss,7,0.562521,0.913536
RoBERTa-base,Tutor-turn only,Focal loss,8,0.587206,0.937545
RoBERTa-base,Tutor-turn only,Focal loss,9,0.587552,0.9948
RoBERTa-base,Tutor-turn only,Focal loss,10,0.572254,1.016554
DAPT,Preceding-2,Weighted CE,1,0.220335,1.38075
DAPT,Preceding-2,Weighted CE,2,0.213608,1.384751
DAPT,Preceding-2,Weighted CE,3,0.30314,1.414065
DAPT,Preceding-2,Weighted CE,4,0.360681,1.310774
DAPT,Preceding-2,Weighted CE,5,0.356048,1.377795
DAPT,Preceding-2,Weighted CE,6,0.440069,1.565344
DAPT,Preceding-2,Weighted CE,7,0.419163,1.757941
DAPT,Preceding-2,Weighted CE,8,0.439797,1.87424
DAPT,Preceding-2,Weighted CE,9,0.437345,1.94153
DAPT,Preceding-2,Weighted CE,10,0.48564,1.928996
DAPT,Preceding-1,Weighted CE,1,0.153812,1.379519
DAPT,Preceding-1,Weighted CE,2,0.281813,1.332072
DAPT,Preceding-1,Weighted CE,3,0.232563,1.427694
