error_type,side,model,share_pct,pool_share_pct
calculation_error_easily_solved_by_a_calculator,chosen,gpt-5.6-terra,4.947229551451187,15.432503276539974
calculation_error_easily_solved_by_a_calculator,chosen,gemini-3.5-flash-lite,14.775725593667547,16.1697247706422
calculation_error_easily_solved_by_a_calculator,chosen,mistral-nemo:12b,14.808707124010553,17.087155963302752
calculation_error_easily_solved_by_a_calculator,chosen,llama3.1-8b,21.899736147757256,17.10353866317169
calculation_error_easily_solved_by_a_calculator,chosen,llama3.2:3b,23.08707124010554,17.10353866317169
calculation_error_easily_solved_by_a_calculator,chosen,llama3.2:1b,20.481530343007915,17.10353866317169
calculation_error_easily_solved_by_a_calculator,rejected,gpt-5.6-terra,25.89050131926121,15.432503276539974
calculation_error_easily_solved_by_a_calculator,rejected,gemini-3.5-flash-lite,17.612137203166228,16.1697247706422
calculation_error_easily_solved_by_a_calculator,rejected,mistral-nemo:12b,19.261213720316622,17.087155963302752
calculation_error_easily_solved_by_a_calculator,rejected,llama3.1-8b,12.368073878627968,17.10353866317169
calculation_error_easily_solved_by_a_calculator,rejected,llama3.2:3b,11.147757255936677,17.10353866317169
calculation_error_easily_solved_by_a_calculator,rejected,llama3.2:1b,13.720316622691293,17.10353866317169
extra_quantity_or_missing_quantity,chosen,gpt-5.6-terra,26.847122914538645,15.879065040650406
extra_quantity_or_missing_quantity,chosen,gemini-3.5-flash-lite,3.813415049370106,16.243224932249323
extra_quantity_or_missing_quantity,chosen,mistral-nemo:12b,19.594824651004426,16.963075880758808
extra_quantity_or_missing_quantity,chosen,llama3.1-8b,9.516513449097719,16.971544715447155
extra_quantity_or_missing_quantity,chosen,llama3.2:3b,12.938372488934286,16.971544715447155
extra_quantity_or_missing_quantity,chosen,llama3.2:1b,27.289751447054815,16.971544715447155
extra_quantity_or_missing_quantity,rejected,gpt-5.6-terra,4.971058903643173,15.879065040650406
extra_quantity_or_missing_quantity,rejected,gemini-3.5-flash-lite,28.70275791624106,16.243224932249323
extra_quantity_or_missing_quantity,rejected,mistral-nemo:12b,14.368403132448076,16.963075880758808
extra_quantity_or_missing_quantity,rejected,llama3.1-8b,24.412665985699693,16.971544715447155
extra_quantity_or_missing_quantity,rejected,llama3.2:3b,20.820565202587673,16.971544715447155
extra_quantity_or_missing_quantity,rejected,llama3.2:1b,6.724548859380321,16.971544715447155
missing_wrong_factual_knowledge,chosen,gpt-5.6-terra,26.51559741024132,15.69000878992089
missing_wrong_factual_knowledge,chosen,gemini-3.5-flash-lite,9.741024131842261,16.12950483445649
missing_wrong_factual_knowledge,chosen,mistral-nemo:12b,21.659799882283696,17.023146791678876
missing_wrong_factual_knowledge,chosen,llama3.1-8b,11.536197763390229,17.05244652798125
missing_wrong_factual_knowledge,chosen,llama3.2:3b,9.476162448499117,17.05244652798125
