error_type,side,model,share_pct,pool_share_pct
missing_wrong_factual_knowledge,chosen,llama3.2:1b,21.07121836374338,17.05244652798125
missing_wrong_factual_knowledge,rejected,gpt-5.6-terra,4.914655679811654,15.69000878992089
missing_wrong_factual_knowledge,rejected,gemini-3.5-flash-lite,22.601530311948203,16.12950483445649
missing_wrong_factual_knowledge,rejected,mistral-nemo:12b,12.419070041200706,17.023146791678876
missing_wrong_factual_knowledge,rejected,llama3.1-8b,22.454384932313125,17.05244652798125
missing_wrong_factual_knowledge,rejected,llama3.2:3b,24.690994702766332,17.05244652798125
missing_wrong_factual_knowledge,rejected,llama3.2:1b,12.919364331959976,17.05244652798125
misunderstanding_of_a_question,chosen,gpt-5.6-terra,15.977605512489234,15.560477245123955
misunderstanding_of_a_question,chosen,gemini-3.5-flash-lite,14.929658340511054,16.196327784525256
misunderstanding_of_a_question,chosen,mistral-nemo:12b,17.31266149870801,17.060798742587696
misunderstanding_of_a_question,chosen,llama3.1-8b,20.255526844674133,17.060798742587696
misunderstanding_of_a_question,chosen,llama3.2:3b,19.020958943439563,17.060798742587696
misunderstanding_of_a_question,chosen,llama3.2:1b,12.503588860178008,17.060798742587696
misunderstanding_of_a_question,rejected,gpt-5.6-terra,15.188056273327591,15.560477245123955
misunderstanding_of_a_question,rejected,gemini-3.5-flash-lite,17.41314958369222,16.196327784525256
misunderstanding_of_a_question,rejected,mistral-nemo:12b,16.824576514498997,17.060798742587696
misunderstanding_of_a_question,rejected,llama3.1-8b,13.853000287108813,17.060798742587696
misunderstanding_of_a_question,rejected,llama3.2:3b,15.11627906976744,17.060798742587696
misunderstanding_of_a_question,rejected,llama3.2:1b,21.604938271604937,17.060798742587696
none_of_the_above,chosen,gpt-5.6-terra,5.935422602089268,15.816808309726158
none_of_the_above,chosen,gemini-3.5-flash-lite,14.387464387464387,16.19452313503305
none_of_the_above,chosen,mistral-nemo:12b,14.719848053181387,16.997167138810198
none_of_the_above,chosen,llama3.1-8b,21.03513770180437,16.997167138810198
none_of_the_above,chosen,llama3.2:3b,21.699905033238366,16.997167138810198
none_of_the_above,chosen,llama3.2:1b,22.22222222222222,16.997167138810198
none_of_the_above,rejected,gpt-5.6-terra,25.73599240265907,15.816808309726158
none_of_the_above,rejected,gemini-3.5-flash-lite,17.94871794871795,16.19452313503305
none_of_the_above,rejected,mistral-nemo:12b,19.278252611585945,16.997167138810198
none_of_the_above,rejected,llama3.1-8b,12.962962962962962,16.997167138810198
none_of_the_above,rejected,llama3.2:3b,12.345679012345679,16.997167138810198
none_of_the_above,rejected,llama3.2:1b,11.728395061728394,16.997167138810198
reached_correct_solution_but_proceeded_further,chosen,gpt-5.6-terra,4.481955762514551,15.647638365691105
reached_correct_solution_but_proceeded_further,chosen,gemini-3.5-flash-lite,27.0081490104773,16.198203419298753
reached_correct_solution_but_proceeded_further,chosen,mistral-nemo:12b,12.281722933643772,17.038539553752535
reached_correct_solution_but_proceeded_further,chosen,llama3.1-8b,21.71129220023283,17.038539553752535
reached_correct_solution_but_proceeded_further,chosen,llama3.2:3b,23.108265424912688,17.038539553752535
reached_correct_solution_but_proceeded_further,chosen,llama3.2:1b,11.40861466821886,17.038539553752535
reached_correct_solution_but_proceeded_further,rejected,gpt-5.6-terra,26.833527357392317,15.647638365691105
reached_correct_solution_but_proceeded_further,rejected,gemini-3.5-flash-lite,5.238649592549476,16.198203419298753
reached_correct_solution_but_proceeded_further,rejected,mistral-nemo:12b,21.71129220023283,17.038539553752535
reached_correct_solution_but_proceeded_further,rejected,llama3.1-8b,12.39813736903376,17.038539553752535
reached_correct_solution_but_proceeded_further,rejected,llama3.2:3b,11.059371362048893,17.038539553752535
reached_correct_solution_but_proceeded_further,rejected,llama3.2:1b,22.759022118742724,17.038539553752535
unit_conversion_error,chosen,gpt-5.6-terra,28.903654485049834,16.135705419942077
unit_conversion_error,chosen,gemini-3.5-flash-lite,9.800664451827243,16.342573438146463
unit_conversion_error,chosen,mistral-nemo:12b,19.767441860465116,16.880430285477864
unit_conversion_error,chosen,llama3.1-8b,10.96345514950166,16.880430285477864
unit_conversion_error,chosen,llama3.2:3b,9.053156146179402,16.880430285477864
unit_conversion_error,chosen,llama3.2:1b,21.511627906976745,16.880430285477864
unit_conversion_error,rejected,gpt-5.6-terra,3.488372093023256,16.135705419942077
unit_conversion_error,rejected,gemini-3.5-flash-lite,22.840531561461795,16.342573438146463
unit_conversion_error,rejected,mistral-nemo:12b,13.953488372093023,16.880430285477864
unit_conversion_error,rejected,llama3.1-8b,22.674418604651162,16.880430285477864
unit_conversion_error,rejected,llama3.2:3b,24.833887043189367,16.880430285477864
unit_conversion_error,rejected,llama3.2:1b,12.209302325581394,16.880430285477864
