error_type,side,n_pairs,share_focus_pct,share_generic_pct,share_probing_pct,share_telling_pct
calculation_error_easily_solved_by_a_calculator,chosen,3032,100.0,0.0,0.0,0.0
calculation_error_easily_solved_by_a_calculator,rejected,3032,85.4221635883905,0.06596306068601583,6.563324538258575,7.9485488126649075
extra_quantity_or_missing_quantity,chosen,5874,92.5263874702077,0.034048348655090224,2.0599250936329585,5.3796390875042555
extra_quantity_or_missing_quantity,rejected,5874,91.41981613891727,0.0,8.580183861082737,0.0
missing_wrong_factual_knowledge,chosen,3398,82.51912889935255,0.0,11.212477928193055,6.2683931724543855
missing_wrong_factual_knowledge,rejected,3398,99.85285462036492,0.11771630370806356,0.02942907592701589,0.0
misunderstanding_of_a_question,chosen,6966,86.19006603502729,0.0717772035601493,7.450473729543497,6.287683031869079
misunderstanding_of_a_question,rejected,6966,98.2199253517083,0.0,1.7800746482917025,0.0
none_of_the_above,chosen,2106,100.0,0.0,0.0,0.0
none_of_the_above,rejected,2106,84.99525166191833,0.04748338081671415,9.781576448243115,5.1756885090218425
reached_correct_solution_but_proceeded_further,chosen,1718,99.88358556461002,0.0,0.11641443538998836,0.0
reached_correct_solution_but_proceeded_further,rejected,1718,89.87194412107101,0.11641443538998836,4.831199068684517,5.180442374854482
unit_conversion_error,chosen,1204,85.88039867109634,0.0,6.4784053156146175,7.641196013289036
unit_conversion_error,rejected,1204,100.0,0.0,0.0,0.0
