error_category,pair_index,mean,std,median,n_contexts
calculation_error_easily_solved_by_a_calculator,1,0.711503459770115,0.1643726207523487,0.764883,87
calculation_error_easily_solved_by_a_calculator,2,0.6075256781609195,0.17789992474248997,0.637605,87
calculation_error_easily_solved_by_a_calculator,3,0.531384724137931,0.18425921754209568,0.516559,87
calculation_error_easily_solved_by_a_calculator,4,0.4753030804597701,0.18545970612703452,0.461981,87
calculation_error_easily_solved_by_a_calculator,5,0.4344712988505747,0.18488170496293754,0.408353,87
calculation_error_easily_solved_by_a_calculator,6,0.3947586896551724,0.18499529385845104,0.3672149999999999,87
calculation_error_easily_solved_by_a_calculator,7,0.3621855862068965,0.1778075589094525,0.318865,87
calculation_error_easily_solved_by_a_calculator,8,0.33390991954022986,0.17188749631678163,0.2891059999999999,87
calculation_error_easily_solved_by_a_calculator,9,0.30087275862068963,0.1599786189887076,0.2396889999999999,87
calculation_error_easily_solved_by_a_calculator,10,0.27404421839080456,0.14893235520206197,0.219635,87
calculation_error_easily_solved_by_a_calculator,11,0.24805918390804593,0.13848625883404278,0.202924,87
calculation_error_easily_solved_by_a_calculator,12,0.22521931034482756,0.12793192435107822,0.190091,87
calculation_error_easily_solved_by_a_calculator,13,0.2044151149425287,0.11743699584165208,0.1704519999999999,87
calculation_error_easily_solved_by_a_calculator,14,0.18821837931034477,0.11116724335225957,0.156854,87
calculation_error_easily_solved_by_a_calculator,15,0.17489934482758615,0.10692935861878113,0.1465850000000001,87
calculation_error_easily_solved_by_a_calculator,16,0.1608847701149425,0.0903955340776252,0.1344309999999999,87
calculation_error_easily_solved_by_a_calculator,17,0.14683548275862066,0.08518175036586266,0.127625,87
calculation_error_easily_solved_by_a_calculator,18,0.13416312643678158,0.07737489665872871,0.114577,87
calculation_error_easily_solved_by_a_calculator,19,0.12315180459770111,0.07214053564217862,0.1023349999999999,87
calculation_error_easily_solved_by_a_calculator,20,0.11404706896551718,0.06995966926417913,0.092683,87
calculation_error_easily_solved_by_a_calculator,21,0.10314843678160916,0.062189709401060875,0.0851039999999999,87
calculation_error_easily_solved_by_a_calculator,22,0.09459305747126434,0.05962391177210942,0.0789369999999999,87
calculation_error_easily_solved_by_a_calculator,23,0.08431549425287352,0.05292685003146203,0.070221,87
calculation_error_easily_solved_by_a_calculator,24,0.07572889655172409,0.048546775819230906,0.0627929999999999,87
calculation_error_easily_solved_by_a_calculator,25,0.06905251724137926,0.045037026785168195,0.0586400000000001,87
calculation_error_easily_solved_by_a_calculator,26,0.06054949425287352,0.04008549965571369,0.0515009999999999,87
calculation_error_easily_solved_by_a_calculator,27,0.05342850574712638,0.037651353064686935,0.041455,87
calculation_error_easily_solved_by_a_calculator,28,0.04753214942528731,0.03437615067487338,0.036816,87
calculation_error_easily_solved_by_a_calculator,29,0.04173421839080456,0.03095654726383844,0.032032,87
