error_type,move,n_pairs,utility,share_chosen_higher_pct,mean_difference,median_difference
calculation_error_easily_solved_by_a_calculator,focus,3032,0.8986108133390349,100.0,0.1978971339050132,0.11446800000000001
none_of_the_above,focus,2106,0.2971601899383776,100.0,0.20573925878442545,0.1285755
reached_correct_solution_but_proceeded_further,focus,1718,0.2674128465943148,82.01396973224679,0.12315073806752037,0.0498015
extra_quantity_or_missing_quantity,telling,5874,0.4680447492752681,99.59141981613891,0.08998347940074906,0.025279000000000003
missing_wrong_factual_knowledge,telling,3398,1.6668736987577206,71.92466156562683,0.09011545821071217,0.026198
unit_conversion_error,telling,1204,1.1793237004443498,79.734219269103,0.10682419933554817,0.037133
misunderstanding_of_a_question,generic,6966,0.0748911043731501,99.95693367786392,0.002195815819695665,0.0008835
