error_type,n_contexts,n_candidates,candidates_per_context,mean_p_focus,mean_p_generic,mean_p_probing,mean_p_telling,top_label_focus,top_label_generic,top_label_probing,top_label_telling,telling_per_context_mean,telling_per_context_max,contexts_without_telling
Numerical calculation error,87,6104,70.16091954022988,0.7977219107142857,0.0029001010812581916,0.12275888253604195,0.07661910550458717,5662,2,199,241,2.7701149425287355,11,26
Missing or extra quantity,167,11808,70.7065868263473,0.781762766852981,0.0025733096205962057,0.155513768800813,0.06015015735094851,10863,2,627,316,1.8922155688622755,15,81
Missing or incorrect factual knowledge,97,6826,70.37113402061856,0.7826880439496046,0.0030868357749780253,0.15162149238206857,0.06260361426897158,6227,4,382,213,2.195876288659794,14,49
Misunderstanding of the question,199,13997,70.33668341708542,0.7892371255268986,0.002744881617489462,0.1421846042009002,0.06583338379652783,12910,5,644,438,2.201005025125628,18,90
None of the above,60,4236,70.6,0.7880883550519358,0.0031450278564683666,0.146550115911237,0.06221650637393768,3920,1,206,109,1.8166666666666667,10,26
Reached the correct solution but proceeded further,49,3451,70.42857142857143,0.8229560153578671,0.0028949223413503337,0.11160145001448857,0.0625476006954506,3275,2,85,89,1.816326530612245,14,20
Unit conversion error,34,2417,71.08823529411765,0.80264540918494,0.003127199834505585,0.12148248324369051,0.0727449069093918,2247,0,78,92,2.7058823529411766,11,15
all,693,48839,70.47474747474747,0.790521660210078,0.0028348218227236426,0.1414914119863224,0.06515210288908455,45104,16,2221,1498,2.1616161616161618,18,307
