model,rho,error_category,n_pairs,share_of_subset_pct,mean_score_margin,chosen_focus,rejected_focus,shift_focus,chosen_generic,rejected_generic,shift_generic,chosen_probing,rejected_probing,shift_probing,chosen_telling,rejected_telling,shift_telling
dpo_01,0.1,calculation_error_easily_solved_by_a_calculator,303,12.48969497114592,0.737905891785312,0.9201512706270627,0.21940411881188115,0.7007471518151815,0.0017978547854785476,0.014290518151815179,-0.01249266336633663,0.05607377227722772,0.29577230033003304,-0.23969852805280534,0.021977102310231023,0.4705330792079208,-0.4485559768976898
dpo_01,0.1,extra_quantity_or_missing_quantity,587,24.1962077493817,0.02871030588128433,0.3790937989778535,0.7965581277683134,-0.41746432879045986,0.008911909710391823,0.002147120954003407,0.006764788756388416,0.11096559454855198,0.1900638415672913,-0.07909824701873933,0.5010286916524702,0.011230880749574106,0.4897978109028961
dpo_01,0.1,missing_wrong_factual_knowledge,339,13.973619126133553,0.6016051507367065,0.3479611651917404,0.8797929262536874,-0.531831761061947,0.00709941592920354,0.007865061946902655,-0.0007656460176991148,0.11039125958702066,0.10008731268436577,0.01030394690265489,0.534548162241888,0.01225467256637168,0.5222934896755163
dpo_01,0.1,misunderstanding_of_a_question,696,28.689200329760922,0.0010887345967854705,0.39574783764367816,0.8827669741379311,-0.487019136494253,0.01449418103448276,0.0013210545977011493,0.013173126436781611,0.2593384022988506,0.08888684626436782,0.17045155603448275,0.33041961925287355,0.02702512068965517,0.3033944985632184
dpo_01,0.1,none_of_the_above,210,8.656224237427864,0.12775824905689315,0.9164662428571428,0.21816753333333333,0.6982987095238096,0.0017923285714285713,0.019036814285714285,-0.017244485714285714,0.059754909523809525,0.4741834142857143,-0.4144285047619048,0.02198647619047619,0.28861227142857143,-0.26662579523809526
dpo_01,0.1,reached_correct_solution_but_proceeded_further,171,7.048639736191261,0.38330655883295994,0.40065446783625724,0.7604014795321639,-0.3597470116959066,0.011603187134502924,0.0024762573099415207,0.009126929824561402,0.11013612865497076,0.2249502573099415,-0.11481412865497075,0.47760627485380114,0.012172064327485377,0.4654342105263158
dpo_01,0.1,unit_conversion_error,120,4.9464138499587795,0.18579932929763274,0.33437273333333334,0.9074131166666667,-0.5730403833333333,0.008507500000000001,0.0019862416666666665,0.006521258333333335,0.09729539999999999,0.07642430833333333,0.02087109166666666,0.5598243749999999,0.0141764,0.545647975
dpo_03,0.3,calculation_error_easily_solved_by_a_calculator,909,12.475981334065331,0.4885637976423992,0.9100117810781078,0.44124250825082506,0.4687692728272827,0.0018066842684268428,0.007548820682068208,-0.005742136413641365,0.06548240924092409,0.2797658613861386,-0.21428345214521455,0.022699149614961497,0.27144283388338836,-0.24874368426842686
dpo_03,0.3,extra_quantity_or_missing_quantity,1762,24.183365358221245,0.01511536313149038,0.6244357133938706,0.8199118666288308,-0.19547615323496015,0.00513038422247446,0.0020703427922814984,0.0030600414301929614,0.09747731384790011,0.16336378376844496,-0.06588646992054485,0.272956592508513,0.014653997729852439,0.2583025947786606
dpo_03,0.3,missing_wrong_factual_knowledge,1019,13.985726049958824,0.3107965911659466,0.6094370372914623,0.8812718292443572,-0.27183479195289495,0.005360593719332679,0.004811631992149166,0.0005489617271835128,0.09975585083415112,0.09884724926398429,0.0009086015701668254,0.28544651030421986,0.01506926692836114,0.2703772433758587
dpo_03,0.3,misunderstanding_of_a_question,2089,28.671424650013726,0.0004852158846894621,0.5351603791287697,0.8787966381043562,-0.3436362589755865,0.007297364289133556,0.0014265026328386787,0.005870861656294878,0.23666163092388703,0.09189252896122546,0.14476910196266157,0.22088062230732408,0.027884327908089996,0.19299629439923408
dpo_03,0.3,none_of_the_above,631,8.66044468844359,0.08716814615609172,0.9059497099841521,0.4306077099841521,0.47534200000000004,0.0017992931854199686,0.009131063391442153,-0.007331770206022184,0.06990708874801901,0.37457732488114104,-0.30467023613312205,0.022343887480190176,0.18568391600633913,-0.16334002852614896
dpo_03,0.3,reached_correct_solution_but_proceeded_further,515,7.068350260774087,0.19440520975703318,0.6490785378640777,0.7998424233009708,-0.15076388543689312,0.007244526213592233,0.003246489320388349,0.003998036893203884,0.09326871262135922,0.18256496116504856,-0.08929624854368934,0.2504082427184466,0.014346139805825242,0.23606210291262134
dpo_03,0.3,unit_conversion_error,361,4.954707658523195,0.10478079696482152,0.5283697202216067,0.9020093213296398,-0.3736396011080332,0.008386396121883657,0.0019260055401662051,0.006460390581717452,0.14820336011080334,0.07956450138504155,0.0686388587257618,0.31504051246537396,0.016500149584487537,0.2985403628808864
dpo_05,0.5,calculation_error_easily_solved_by_a_calculator,1516,12.47839328339781,0.36152584397307547,0.9041756286279684,0.556487070580475,0.34768855804749343,0.0018273120052770446,0.005697773087071239,-0.003870461081794194,0.07035368865435357,0.23828417744063327,-0.1679304887862797,0.023643383905013193,0.19953099472295516,-0.17588761081794196
dpo_05,0.5,extra_quantity_or_missing_quantity,2937,24.174829204049715,0.010063202767286776,0.7184324399046648,0.8195273629553966,-0.10109492305073187,0.003936335376234252,0.002032700715015322,0.0019036346612189303,0.08938641607082058,0.1622784102826013,-0.0728919942117807,0.18824481205311544,0.016161526727953693,0.17208328532516176
dpo_05,0.5,missing_wrong_factual_knowledge,1699,13.984690097950448,0.20846321768050624,0.6384756321365508,0.8786320682754563,-0.24015643613890547,0.004358491465567981,0.003692172454384932,0.0006663190111830487,0.16481136315479694,0.10205500882872277,0.06275635432607417,0.1923544991171277,0.015620725721012361,0.17673377339611535
dpo_05,0.5,misunderstanding_of_a_question,3483,28.669026257305127,0.0003299583912844472,0.6124413264427218,0.8698049425782372,-0.2573636161355154,0.0054929776055124896,0.0015006514498995122,0.003992326155612977,0.21958427476313525,0.10084398420901522,0.11874029055412003,0.16248141056560433,0.02785041429801895,0.13463099626758537
dpo_05,0.5,none_of_the_above,1053,8.667380031278295,0.06552914768482081,0.899875301994302,0.5427169914529915,0.35715831054131053,0.001840395061728395,0.00661557264957265,-0.004775177587844255,0.07504624311490979,0.30664789173789175,-0.23160164862298196,0.023238056030389365,0.14401956695156695,-0.12078151092117759
dpo_05,0.5,reached_correct_solution_but_proceeded_further,859,7.070540785249815,0.13358806862305825,0.7350639569266589,0.8280903376018627,-0.09302638067520375,0.005155733410942958,0.002700402793946449,0.0024553306169965085,0.08160085797438882,0.1532445529685681,-0.07164369499417927,0.1781794423748545,0.01596470779976717,0.16221473457508734
dpo_05,0.5,unit_conversion_error,602,4.9551403407687875,0.07227718329014918,0.609817684385382,0.8986063338870431,-0.28878864950166117,0.006411586378737542,0.0019438172757475082,0.004467769102990033,0.1660964335548173,0.08198094518272425,0.08411548837209304,0.21767431229235878,0.017468882059800662,0.20020543023255813
