dimension,error_category,model,damr_sft,damr_dpo,change
mistake_identification,calculation_error_easily_solved_by_a_calculator,dpo_01,39.473684210526315,68.42105263157895,28.94736842105263
mistake_identification,calculation_error_easily_solved_by_a_calculator,dpo_03,39.473684210526315,63.1578947368421,23.684210526315788
mistake_identification,calculation_error_easily_solved_by_a_calculator,dpo_05,39.473684210526315,84.21052631578947,44.73684210526315
mistake_identification,extra_quantity_or_missing_quantity,dpo_01,35.2112676056338,59.154929577464785,23.943661971830984
mistake_identification,extra_quantity_or_missing_quantity,dpo_03,35.2112676056338,57.74647887323944,22.53521126760564
mistake_identification,extra_quantity_or_missing_quantity,dpo_05,35.2112676056338,74.64788732394366,39.43661971830986
mistake_identification,missing_wrong_factual_knowledge,dpo_01,59.523809523809526,59.523809523809526,0.0
mistake_identification,missing_wrong_factual_knowledge,dpo_03,59.523809523809526,69.04761904761905,9.523809523809526
mistake_identification,missing_wrong_factual_knowledge,dpo_05,59.523809523809526,78.57142857142857,19.047619047619044
mistake_identification,misunderstanding_of_a_question,dpo_01,37.64705882352941,62.35294117647059,24.705882352941174
mistake_identification,misunderstanding_of_a_question,dpo_03,37.64705882352941,64.70588235294117,27.05882352941176
mistake_identification,misunderstanding_of_a_question,dpo_05,37.64705882352941,87.05882352941177,49.411764705882355
mistake_identification,none_of_the_above,dpo_01,34.61538461538461,80.76923076923077,46.15384615384616
mistake_identification,none_of_the_above,dpo_03,34.61538461538461,73.07692307692307,38.46153846153845
mistake_identification,none_of_the_above,dpo_05,34.61538461538461,92.3076923076923,57.69230769230769
mistake_identification,reached_correct_solution_but_proceeded_further,dpo_01,47.61904761904761,61.904761904761905,14.285714285714292
mistake_identification,reached_correct_solution_but_proceeded_further,dpo_03,47.61904761904761,76.19047619047619,28.571428571428577
mistake_identification,reached_correct_solution_but_proceeded_further,dpo_05,47.61904761904761,95.23809523809523,47.61904761904761
mistake_identification,unit_conversion_error,dpo_01,53.333333333333336,53.333333333333336,0.0
mistake_identification,unit_conversion_error,dpo_03,53.333333333333336,66.66666666666666,13.333333333333321
mistake_identification,unit_conversion_error,dpo_05,53.333333333333336,93.33333333333333,39.99999999999999
mistake_location,calculation_error_easily_solved_by_a_calculator,dpo_01,36.84210526315789,60.526315789473685,23.684210526315795
mistake_location,calculation_error_easily_solved_by_a_calculator,dpo_03,36.84210526315789,50.0,13.15789473684211
mistake_location,calculation_error_easily_solved_by_a_calculator,dpo_05,36.84210526315789,71.05263157894737,34.21052631578948
mistake_location,extra_quantity_or_missing_quantity,dpo_01,30.985915492957744,49.29577464788733,18.309859154929583
mistake_location,extra_quantity_or_missing_quantity,dpo_03,30.985915492957744,45.07042253521127,14.084507042253527
mistake_location,extra_quantity_or_missing_quantity,dpo_05,30.985915492957744,57.74647887323944,26.760563380281695
mistake_location,missing_wrong_factual_knowledge,dpo_01,54.761904761904766,42.857142857142854,-11.904761904761912
mistake_location,missing_wrong_factual_knowledge,dpo_03,54.761904761904766,50.0,-4.761904761904766
mistake_location,missing_wrong_factual_knowledge,dpo_05,54.761904761904766,69.04761904761905,14.285714285714285
mistake_location,misunderstanding_of_a_question,dpo_01,37.64705882352941,47.05882352941176,9.411764705882348
mistake_location,misunderstanding_of_a_question,dpo_03,37.64705882352941,51.76470588235295,14.117647058823536
mistake_location,misunderstanding_of_a_question,dpo_05,37.64705882352941,69.41176470588235,31.764705882352935
mistake_location,none_of_the_above,dpo_01,34.61538461538461,65.38461538461539,30.769230769230774
mistake_location,none_of_the_above,dpo_03,34.61538461538461,57.692307692307686,23.076923076923073
mistake_location,none_of_the_above,dpo_05,34.61538461538461,76.92307692307693,42.30769230769232
mistake_location,reached_correct_solution_but_proceeded_further,dpo_01,42.857142857142854,57.14285714285714,14.285714285714285
mistake_location,reached_correct_solution_but_proceeded_further,dpo_03,42.857142857142854,66.66666666666666,23.809523809523803
mistake_location,reached_correct_solution_but_proceeded_further,dpo_05,42.857142857142854,85.71428571428571,42.857142857142854
mistake_location,unit_conversion_error,dpo_01,46.666666666666664,40.0,-6.666666666666664
mistake_location,unit_conversion_error,dpo_03,46.666666666666664,53.333333333333336,6.666666666666671
mistake_location,unit_conversion_error,dpo_05,46.666666666666664,73.33333333333333,26.666666666666664
revealing_answer,calculation_error_easily_solved_by_a_calculator,dpo_01,94.73684210526315,68.42105263157895,-26.315789473684205
revealing_answer,calculation_error_easily_solved_by_a_calculator,dpo_03,94.73684210526315,84.21052631578947,-10.526315789473685
revealing_answer,calculation_error_easily_solved_by_a_calculator,dpo_05,94.73684210526315,71.05263157894737,-23.68421052631578
revealing_answer,extra_quantity_or_missing_quantity,dpo_01,92.95774647887323,66.19718309859155,-26.76056338028168
revealing_answer,extra_quantity_or_missing_quantity,dpo_03,92.95774647887323,87.32394366197182,-5.633802816901408
revealing_answer,extra_quantity_or_missing_quantity,dpo_05,92.95774647887323,81.69014084507043,-11.267605633802802
revealing_answer,missing_wrong_factual_knowledge,dpo_01,85.71428571428571,64.28571428571429,-21.428571428571416
